tratar	12
pedro	6
indicação	11
presente	9
prazo	9
sigilo	27
precisar	8
exigir	8
reforma	4
afirmar	30
utilização	12
luís	4
magistrado	97
eletrônico	8
praticar	14
atingir	10
decidir	14
segurança	6
dirigir	7
motivação	5
acordo	46
enfrentar	3
risco	3
analisado	4
reiterar	4
zavascki	3
ementa	6
jurisdição	5
compatível	3
interno	5
notório	3
linha	8
repercussão	3
sociedade	12
relacionado	3
julio	5
morar	91
comparecer	3
justificativo	5
defensor	4
resolução	4
indício	3
imparcial	11
encher	3
continuar	9
andrey	7
evidência	3
narrado	4
pertencer	4
custa	3
mp	5
política	17
político	28
il	4
absoluto	9
patrono	3
conter	4
titular	5
ministro	58
crítica	5
expressar	3
jornalista	3
adir	3
regional	4
indivíduo	3
definição	3
vislumbrar	4
sede	12
ordenar	10
atuação	35
delator	3
ordem	38
preventivo	7
apreensão	7
contar	3
realidade	9
equivocar	3
apoiador	3
vara	19
liberdade	18
proteção	6
ilegal	10
valor	8
peluso	3
necessário	13
propósito	5
instalar	3
brasileiro	19
pré_processual	4
exercício	6
mensagem	9
fonte	9
mencionar	8
privativo	3
rt	6
rs	5
consignar	3
deferimento	3
denominar	4
resumo	3
organismo	5
conduta	9
entrar	3
realizar	15
ato	47
caráter	10
deixar	15
parcialidade	15
adotar	16
crer	6
produzir	6
libertação	3
combate	8
transcrever	12
miller	4
força_tarefa	23
ilicitude	7
vista	12
gravação	9
corresponder	4
processar	4
geral	6
investigação	36
véspera	7
finalidade	7
evidente	8
jerusa	15
publicação	4
reportagem	9
longo	3
lula	58
bradar	3
abusividade	3
receber	9
captar	4
conceder	12
acusar	20
grave	11
realização	9
concreto	10
doc	4
professor	5
referido	28
melhor	13
desembargador	4
opção	4
caber	5
consideração	3
heterodoxo	4
relatoria	6
relator	29
criminoso	6
relacionar	6
sozinho	3
jurisprudência	7
dr	3
separação	9
policial	10
probatório	15
inadequado	4
apropriado	3
cooperação	3
sentido	21
plenário	9
paraná	3
desvio	8
autorização	10
marcar	4
dilação	3
expressão	3
sair	4
restar	7
prado	10
vênias	9
novembro	4
acórdão	15
opinião	3
peça	3
termo	18
advertir	6
justificar	19
resposta	4
falar	22
concluir	7
setembro	5
judiciário	12
inquisitivo	3
saída	4
atribuir	3
temporário	3
aberto	7
março	12
assegurar	3
usado	3
declaração	6
avaliação	3
medida	30
desserviço	3
inclinação	4
arguição	3
função	20
iv	3
oitiva	4
excelente	5
legislação	8
livre	6
portal	3
recurso	12
campo	3
the	3
telefônico	42
destacar	33
acusação	25
relevância	3
aplicação	6
expor	10
candidato	4
nota	20
poder_judiciário	4
divulgação	8
esconder	4
aportar	3
liminar	8
experiência	5
específico	7
indicativo	6
negar	7
terceiro	7
matéria	14
gostar	3
autoincriminação	3
beneficiar	5
esquema	9
total	4
apontar	9
oposição	4
conhecido	12
subjetivo	3
excluir	3
bangalore	4
defensivo	5
esperar	6
erro	4
ligação	7
civil	9
questão	24
concessão	3
reforçar	4
novo	16
impugnar	4
cnpj	3
ramal	10
foro	6
indicado	3
conversa	29
artigo	9
seguir	4
devido	15
antecipar	6
vivo	4
cumprir	15
conteúdo	12
permitir	7
odebrecht	6
penal	92
ímpar	3
condenar	8
sanção	4
atividade	6
saber	20
eventual	13
tese	5
responsável	4
providência	4
depor	5
publicar	8
interrupção	3
edoc	19
modelo	13
teixeira	37
mostrar	7
levantar	6
interrogatório	8
josé	4
laura	9
palestra	17
necessidade	8
vez	34
comum	6
curitiba	28
significado	3
persecutório	4
suposto	4
absolutista	4
vladimir	6
ordenação	4
legitimidade	4
cenário	6
impetrantes	4
corregedoria	3
querer	16
turno	9
inocência	6
funcional	5
teori	4
colaborador	11
levar	8
revista	4
participar	3
cargo	15
arbítrio	3
curso	5
previsto	3
emitir	4
controlo	10
agosto	5
mudar	7
instituto	3
exame	5
exemplo	11
enorme	3
lavra	4
jornal	9
semana	6
tocar	6
adquirir	3
internacional	12
positivo	3
franco	3
razoável	5
diálogo	39
decretar	3
garantia	25
descrição	3
palavra	5
garantir	6
parcial	4
seguinte	13
só	21
encontrar	8
eleito	7
cumprimento	8
facilitar	3
figura	4
dúvida	21
titularizado	4
trazer	11
justo	3
construir	3
perder	5
conduzir	16
ferrajoli	3
recente	8
colocar	13
encerramento	4
ligar	5
determinação	3
vencer	3
justiça	31
atar	5
data	19
objeto	20
determinado	14
natural	4
sp	6
despeito	3
recorrente	3
anterior	10
turma	29
notável	3
ressaltar	17
forma	26
gilmar	6
preceito	4
dje	17
maior	12
